player_api_id,overall_rating,potential,finishing,dribbling,short_passing,shot_power,sprint_speed,stamina,strength,vision,player_name
2625,60.142857142857146,61.142857142857146,47.285714285714285,54.142857142857146,56.5,66.71428571428571,63.285714285714285,77.28571428571429,55.785714285714285,55.285714285714285,"Patryk Rachwal,18"
2752,69.38095238095238,70.38095238095238,37.42857142857143,44.857142857142854,54.80952380952381,57.42857142857143,42.19047619047619,60.904761904761905,82.23809523809524,52.42857142857143,Diego Mainz
2768,69.28571428571429,70.57142857142857,42.76190476190476,40.23809523809524,64.71428571428571,38.76190476190476,58.904761904761905,59.285714285714285,67.42857142857143,57.76190476190476,Jose Dorado
2770,71.13333333333334,73.53333333333333,67.66666666666667,75.06666666666666,72.53333333333333,68.33333333333333,59.8,51.0,62.6,71.6,Ignacio Gonzalez
2790,70.2,75.8,37.4,60.8,68.0,46.4,71.2,70.4,71.0,60.0,Alberto Rey
2796,64.6,70.53333333333333,16.066666666666666,17.933333333333334,21.2,34.266666666666666,55.333333333333336,30.266666666666666,53.0,27.266666666666666,Javier Jimenez
2802,76.31818181818181,78.86363636363636,72.63636363636364,83.0909090909091,71.63636363636364,75.22727272727273,79.77272727272727,64.0909090909091,53.90909090909091,76.18181818181819,Pablo Hernandez
2805,72.53571428571429,77.82142857142857,41.535714285714285,55.535714285714285,75.0,71.71428571428571,66.85714285714286,77.03571428571429,75.07142857142857,74.07142857142857,Ruben Perez
2857,65.1875,68.25,58.0625,68.0,60.8125,71.3125,61.875,48.625,58.625,65.25,Ivan Perez
2862,72.91176470588235,74.55882352941177,65.88235294117646,76.79411764705883,70.29411764705883,73.32352941176471,84.20588235294117,59.38235294117647,60.911764705882355,70.88235294117646,Vicente Sanchez
2907,63.3,67.0,29.8,66.3,70.9,58.8,69.8,68.6,38.1,73.8,Gregory Lacombe
2973,68.77777777777777,71.16666666666667,55.166666666666664,59.888888888888886,73.55555555555556,70.55555555555556,66.27777777777777,67.77777777777777,71.77777777777777,64.55555555555556,Ugur Inceman
2977,70.5,68.375,43.75,40.25,41.25,58.25,45.75,60.5,84.75,48.0,David Rivas Rodriguez
2983,72.05,72.95,76.0,61.35,60.05,76.9,56.0,63.9,88.9,57.95,Jorge Molina
2984,68.5,68.375,20.5,22.5,30.125,34.625,65.0,38.875,68.375,25.0,Sergio Aragones
3140,65.85714285714286,71.0,53.857142857142854,60.42857142857143,69.0,61.0,72.28571428571429,78.14285714285714,64.71428571428571,68.0,Alexandre Hauw
3204,77.51724137931035,78.3103448275862,69.65517241379311,80.89655172413794,76.93103448275862,79.51724137931035,74.27586206896552,54.51724137931034,58.689655172413794,78.89655172413794,Marat Izmailov
3263,59.666666666666664,61.333333333333336,44.0,44.333333333333336,63.0,48.0,70.0,76.0,67.0,,Kelly Berville
3264,61.6,73.0,64.0,56.4,54.0,63.0,54.0,58.0,61.0,66.0,Abdelmalek Cherrad
3316,66.76923076923077,67.46153846153847,53.38461538461539,61.38461538461539,62.84615384615385,65.46153846153847,69.61538461538461,73.46153846153847,67.53846153846153,55.38461538461539,Oscar Sanchez
3329,63.2,64.0,32.6,41.6,63.8,55.6,59.0,68.6,68.0,63.4,Vincent Euvrard
3377,66.51515151515152,68.03030303030303,57.696969696969695,66.33333333333333,69.0909090909091,67.27272727272727,65.60606060606061,70.0,68.21212121212122,65.75757575757575,Luca Belingheri
3441,66.64285714285714,69.07142857142857,34.285714285714285,64.28571428571429,63.285714285714285,56.214285714285715,51.5,67.57142857142857,73.14285714285714,69.28571428571429,Aleksander Radosavljevic
3512,69.84615384615384,72.61538461538461,57.61538461538461,72.61538461538461,66.84615384615384,66.6923076923077,74.61538461538461,71.46153846153847,51.92307692307692,71.23076923076923,Peter Halmosi
3517,78.85714285714286,81.57142857142857,78.61904761904762,72.85714285714286,76.0,85.28571428571429,82.95238095238095,80.52380952380952,72.9047619047619,75.38095238095238,Alexandr Kerzhakov
3520,79.68,81.64,76.36,83.96,81.04,78.16,78.2,60.44,65.52,82.28,Andrey Arshavin
4747,69.4,73.0,27.0,21.8,51.8,41.2,41.6,70.4,80.4,,Lee Wilkie
4863,65.25,68.25,27.0,32.0,47.25,43.0,43.75,72.0,88.25,31.0,Boban Grncarov
4902,73.31818181818181,74.77272727272727,55.40909090909091,73.5909090909091,76.22727272727273,66.5,70.31818181818181,78.72727272727273,72.04545454545455,71.9090909090909,Iriney
4939,59.77272727272727,61.68181818181818,18.772727272727273,42.04545454545455,50.68181818181818,19.90909090909091,68.63636363636364,71.95454545454545,76.45454545454545,50.31818181818182,Tim Clancy
4999,57.25,62.375,61.5,49.0,50.0,63.0,58.625,51.75,73.125,53.0,Sebastian Olszar
5016,64.72727272727273,65.0,25.0,58.0,57.0,49.0,77.45454545454545,74.9090909090909,63.63636363636363,59.0,Ibrahim Sidibe
5044,65.92307692307692,69.76923076923077,14.846153846153847,21.153846153846153,35.53846153846154,48.69230769230769,34.92307692307692,49.30769230769231,75.38461538461539,34.53846153846154,Jeroen Verhoeven
5047,61.0,61.0,12.75,12.0,29.0,26.0,49.5,51.25,68.625,32.875,Wilko de Vogt
5063,66.57142857142857,67.14285714285714,56.285714285714285,63.57142857142857,66.21428571428571,71.14285714285714,57.642857142857146,80.28571428571429,69.92857142857143,64.92857142857143,Sander Duits
5184,62.0,67.0,62.0,61.0,58.0,71.0,65.0,64.0,66.0,,Gudmundur Steinarsson
5192,71.0,73.75,64.5,69.75,72.25,68.75,75.25,76.5,73.0,75.0,Manuel Silas
